date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:26	128/128	---MCZ	200	added ('OK')	text/plain	date:Wed,%2004%20Jan%202023%2007:18:23%20GMT	https://donghuaguoman.com/robots.txt		(from )
14:18:27	212750/212750	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:24%20GMT	https://donghuaguoman.com/	E:/DongClip/donghuaguoman.com/index.html	(from )
14:18:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Jan%202023%2007:18:25%20GMT	http://donghuaguoman.com/wp-content/themes/animestream/assets/images/pattern.png	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/images/pattern.1.delayed	(from https://donghuaguoman.com/)
14:18:28	35450/35450	---M--	200	added ('OK')	image/jpeg	etag:%228a7a-5f05a2ccfdcb0%22	https://donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1.jpeg	E:/DongClip/donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1.jpg	(from https://donghuaguoman.com/)
14:18:28	212624/212624	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:25%20GMT	https://donghuaguoman.com/page/2/	E:/DongClip/donghuaguoman.com/page/2/index.html	(from https://donghuaguoman.com/)
14:18:29	76/76	---M--	200	added ('OK')	image/png	etag:%224c-5f02bdfc76f16%22	https://donghuaguoman.com/wp-content/themes/animestream/assets/images/pattern.png	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/images/pattern.png	(from https://donghuaguoman.com/)
14:18:29	59016/59016	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Dec%202022%2010:30:53%20GMT	https://donghuaguoman.com/wp-includes/css/dashicons.min.css	E:/DongClip/donghuaguoman.com/wp-includes/css/dashicons.min.css	(from https://donghuaguoman.com/)
14:18:29	58578/58578	---M-Z	200	added ('OK')	text/css	etag:%22e4d2-5f02bdfc77eb6-gzip%22	https://donghuaguoman.com/wp-content/themes/animestream/assets/css/font-awesome.min.css	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/css/font-awesome.min.css	(from https://donghuaguoman.com/)
14:18:30	8256/8256	---M-Z	200	added ('OK')	text/css	etag:%222040-5f0e215b7230c-gzip%22	https://donghuaguoman.com/wp-content/cache/autoptimize/css/autoptimize_single_67a2ddbe291ab5f65456091f0618bbfb.css	E:/DongClip/donghuaguoman.com/wp-content/cache/autoptimize/css/autoptimize_single_67a2ddbe291ab5f65456091f0618bbfb.css	(from https://donghuaguoman.com/)
14:18:31	9226/9226	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Dec%202022%2010:35:12%20GMT	https://donghuaguoman.com/wp-content/themes/animestream/assets/css/jquery.qtip.min.css	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/css/jquery.qtip.min.css	(from https://donghuaguoman.com/)
14:18:31	13677/13677	---M-Z	200	added ('OK')	text/css	etag:%225ee8d6b2-356d%22	https://cdnjs.cloudflare.com/ajax/libs/Swiper/5.4.5/css/swiper.min.css	E:/DongClip/cdnjs.cloudflare.com/ajax/libs/Swiper/5.4.5/css/swiper.min.css	(from https://donghuaguoman.com/)
14:18:31	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Wed,%2004%20Jan%202023%2007:18:29%20GMT	https://donghuaguoman.com/wp-admin/admin-ajax.php	E:/DongClip/donghuaguoman.com/wp-admin/admin-ajax.php	(from https://donghuaguoman.com/)
14:18:32	100494/100494	---M-Z	200	added ('OK')	application/javascript	etag:%221888e-5f02bdfc73096-gzip%22	https://donghuaguoman.com/wp-content/themes/animestream/assets/js/jquery.min.js	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/js/jquery.min.js	(from https://donghuaguoman.com/)
14:18:32	44348/44348	---M-Z	200	added ('OK')	application/javascript	etag:%22ad3c-5f02bdfc73c4e-gzip%22	https://donghuaguoman.com/wp-content/themes/animestream/assets/js/owl.carousel.min.js	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/js/owl.carousel.min.js	(from https://donghuaguoman.com/)
14:18:32	722/722	---M-Z	200	added ('OK')	application/javascript	etag:%222d2-5f0e2180d70d4-gzip%22	https://donghuaguoman.com/wp-content/cache/autoptimize/js/autoptimize_single_a7144cd8a5218d74abf315f49f4fab73.js	E:/DongClip/donghuaguoman.com/wp-content/cache/autoptimize/js/autoptimize_single_a7144cd8a5218d74abf315f49f4fab73.js	(from https://donghuaguoman.com/)
14:18:32	1917/1917	---M-Z	200	added ('OK')	application/javascript	etag:%2277d-5f0e215b66f5c-gzip%22	https://donghuaguoman.com/wp-content/cache/autoptimize/js/autoptimize_single_34d5571d97d9ae9f82a26813855bed64.js	E:/DongClip/donghuaguoman.com/wp-content/cache/autoptimize/js/autoptimize_single_34d5571d97d9ae9f82a26813855bed64.js	(from https://donghuaguoman.com/)
14:18:33	3167/3167	---M-Z	200	added ('OK')	application/javascript	etag:%22c5f-5f0e215b68e9c-gzip%22	https://donghuaguoman.com/wp-content/cache/autoptimize/js/autoptimize_single_36741f5ff2c560f7b03c1c710b6d9bed.js	E:/DongClip/donghuaguoman.com/wp-content/cache/autoptimize/js/autoptimize_single_36741f5ff2c560f7b03c1c710b6d9bed.js	(from https://donghuaguoman.com/)
14:18:33	2961/2961	---M-Z	200	added ('OK')	application/javascript	etag:%22b91-5f02bdfc73c4e-gzip%22	https://donghuaguoman.com/wp-content/themes/animestream/assets/js/bookmark.js	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/js/bookmark.js	(from https://donghuaguoman.com/)
14:18:33	817/817	---MCZ	200	added ('OK')	text/xml	date:Wed,%2004%20Jan%202023%2007:18:31%20GMT	https://donghuaguoman.com/xmlrpc.php?rsd	E:/DongClip/donghuaguoman.com/xmlrpc0db0.php	(from https://donghuaguoman.com/)
14:18:34	1045/1045	---MCZ	200	added ('OK')	application/xml	etag:W/%22415-4ed499e3c7380%22	https://donghuaguoman.com/wp-includes/wlwmanifest.xml	E:/DongClip/donghuaguoman.com/wp-includes/wlwmanifest.xml	(from https://donghuaguoman.com/)
14:18:34	2512/2512	---M--	200	added ('OK')	image/png	etag:%229d0-5f02bdfc757a6%22	https://donghuaguoman.com/wp-content/themes/animestream/assets/img/character-default.png	E:/DongClip/donghuaguoman.com/wp-content/themes/animestream/assets/img/character-default.png	(from https://donghuaguoman.com/)
14:18:34	187329/187329	---MCZ	200	added ('OK')	application/json	date:Wed,%2004%20Jan%202023%2007:18:31%20GMT	https://donghuaguoman.com/wp-json/	E:/DongClip/donghuaguoman.com/wp-json/index.html	(from https://donghuaguoman.com/)
14:18:35	170878/170878	---M--	200	added ('OK')	text/javascript	etag:5432605994367849474	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4751142775058403&host=ca-host-pub-2644536267352236	E:/DongClip/pagead2.googlesyndication.com/pagead/js/fd97c.txt	(from https://donghuaguoman.com/)
14:18:35	599/599	---M--	200	added ('OK')	image/jpeg	etag:%22ce9096dc65b9009b%22	https://i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1-32x32.jpeg	E:/DongClip/i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1-32x32.jpg	(from https://donghuaguoman.com/)
14:18:35	6882/6882	---M--	200	added ('OK')	image/jpeg	etag:%229ecf898b2acafe27%22	https://i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1-192x192.jpeg	E:/DongClip/i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1-192x192.jpg	(from https://donghuaguoman.com/)
14:18:35	6344/6344	---M--	200	added ('OK')	image/jpeg	etag:%22fc7a906ce2e7fcc7%22	https://i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1-180x180.jpeg	E:/DongClip/i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/cropped-1671643793041-B670oz7T5-transformed-scaled-1-180x180.jpg	(from https://donghuaguoman.com/)
14:18:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Jan%202023%2007:18:33%20GMT	https://donghuaguoman.com/random	E:/DongClip/donghuaguoman.com/random	(from https://donghuaguoman.com/)
14:18:37	219022/219022	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:34%20GMT	https://donghuaguoman.com/schedule/	E:/DongClip/donghuaguoman.com/schedule/index.html	(from https://donghuaguoman.com/)
14:18:37	184822/184822	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:34%20GMT	https://donghuaguoman.com/genres/my-favourite/	E:/DongClip/donghuaguoman.com/genres/my-favourite/index.html	(from https://donghuaguoman.com/)
14:18:37	179579/179579	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:34%20GMT	https://donghuaguoman.com/az-lists/	E:/DongClip/donghuaguoman.com/az-lists/index.html	(from https://donghuaguoman.com/)
14:18:38	177079/177079	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:35%20GMT	https://donghuaguoman.com/bookmark/	E:/DongClip/donghuaguoman.com/bookmark/index.html	(from https://donghuaguoman.com/)
14:18:38	170794/170794	---M--	200	added ('OK')	text/javascript	etag:5653317109624345738	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4751142775058403	E:/DongClip/pagead2.googlesyndication.com/pagead/js/f536f.txt	(from https://donghuaguoman.com/)
14:18:38	175812/175812	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:35%20GMT	https://donghuaguoman.com/contact-us/	E:/DongClip/donghuaguoman.com/contact-us/index.html	(from https://donghuaguoman.com/)
14:18:38	13297/13297	---M--	200	added ('OK')	image/jpeg	etag:%2203696e01ef7d7dcd%22	https://i3.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/1672157077285-transformed.jpeg?resize=247,350	E:/DongClip/i3.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/1672157077285-transformed85bf.jpg	(from https://donghuaguoman.com/)
14:18:39	179671/179671	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:35%20GMT	https://donghuaguoman.com/privacy-policy/	E:/DongClip/donghuaguoman.com/privacy-policy/index.html	(from https://donghuaguoman.com/)
14:18:41	29734/29734	---M--	200	added ('OK')	image/jpeg	etag:%22ae0ced524b31f0ee%22	https://i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/bx137742-3U96BWfr8kL0.jpg?resize=247,350	E:/DongClip/i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/bx137742-3U96BWfr8kL085bf.jpg	(from https://donghuaguoman.com/)
14:18:41	197813/197813	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:36%20GMT	https://donghuaguoman.com/anime/?status=&type=&order=update	E:/DongClip/donghuaguoman.com/anime/index821b.html	(from https://donghuaguoman.com/)
14:18:42	178815/178815	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:36%20GMT	https://donghuaguoman.com/dmca/	E:/DongClip/donghuaguoman.com/dmca/index.html	(from https://donghuaguoman.com/)
14:18:43	21775/21775	---M--	200	added ('OK')	image/jpeg	etag:%22fe2cd5e8da9d1e0a%22	https://i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/2022-06-18-768x1365-1.jpg?resize=247,350	E:/DongClip/i1.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/2022-06-18-768x1365-185bf.jpg	(from https://donghuaguoman.com/)
14:18:44	204917/204917	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:39%20GMT	https://donghuaguoman.com/a-will-eternal-season-2-episode-27-79-subtitle/	E:/DongClip/donghuaguoman.com/a-will-eternal-season-2-episode-27-79-subtitle/index.html	(from https://donghuaguoman.com/)
14:18:44	198362/198362	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:40%20GMT	https://donghuaguoman.com/defense-fully-open-episode-6-subtitle/	E:/DongClip/donghuaguoman.com/defense-fully-open-episode-6-subtitle/index.html	(from https://donghuaguoman.com/)
14:18:44	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2004%20Jan%202023%2007:18:36%20GMT	https://donghuaguoman.com/random/	E:/DongClip/donghuaguoman.com/random/index.html	(from https://donghuaguoman.com/)
14:18:44	8029/8029	---M--	200	added ('OK')	image/jpeg	etag:%22b9255fb0f89e3ff8%22	https://i2.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/IMG-20221220-WA0002.jpg?resize=247,350	E:/DongClip/i2.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/IMG-20221220-WA000285bf.jpg	(from https://donghuaguoman.com/)
14:18:45	204469/204469	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Jan%202023%2007:18:42%20GMT	https://donghuaguoman.com/swallowed-star-season-2-episode-43-69-subtitle/	E:/DongClip/donghuaguoman.com/swallowed-star-season-2-episode-43-69-subtitle/index.html	(from https://donghuaguoman.com/)
14:18:45	11569/11569	---M--	200	added ('OK')	image/jpeg	etag:%22062635a885fc4be5%22	https://i0.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/IMG-20221219-WA0008.jpg?resize=247,350	E:/DongClip/i0.wp.com/donghuaguoman.com/wp-content/uploads/2022/12/IMG-20221219-WA000885bf.jpg	(from https://donghuaguoman.com/)
